open,high,low,close,volume,value
86615000.0,87277000.0,86551000.0,86691000.0,361.71275712,31429689967.08891
86691000.0,87209000.0,86012000.0,86172000.0,497.9623539,43162997820.50913
86172000.0,86535000.0,85220000.0,86500000.0,622.85069795,53475265810.40504
86500000.0,86985000.0,86284000.0,86901000.0,271.88209669,23574287009.1707
86901000.0,87633000.0,86716000.0,87566000.0,212.03374847,18489071370.20051
87566000.0,87690000.0,86588000.0,86954000.0,173.61180453,15136594647.67849
86951000.0,87172000.0,86799000.0,87057000.0,117.67298918,10237275541.84903
87057000.0,87270000.0,86940000.0,87217000.0,93.24347659,8120535882.41332
87218000.0,87330000.0,86929000.0,86961000.0,102.5582781,8932886239.36151
86961000.0,86983000.0,86502000.0,86768000.0,149.44879437,12964435048.22663
86758000.0,86907000.0,86466000.0,86890000.0,80.23508922,6950548962.87216
86903000.0,87050000.0,86742000.0,87003000.0,51.0392416,4436024084.49424
87003000.0,87299000.0,86970000.0,87181000.0,74.70034243,6508890795.01217
87180000.0,87578000.0,87042000.0,87236000.0,88.09311632,7694179061.88586
87236000.0,87291000.0,86900000.0,87111000.0,83.14129252,7237143952.13945
87111000.0,87409000.0,86959000.0,87142000.0,56.75705792,4949302622.21145
87186000.0,87238000.0,85800000.0,85884000.0,251.79770744,21751259111.07269
85875000.0,86309000.0,85300000.0,85823000.0,317.75415278,27238597588.70176
85786000.0,85919000.0,85469000.0,85661000.0,110.66593232,9481330411.71666
85648000.0,85900000.0,85158000.0,85160000.0,116.38093463,9934357184.05247
85181000.0,85800000.0,85000000.0,85263000.0,239.58710933,20393363577.91669
85337000.0,86100000.0,85232000.0,85634000.0,86.17363569,7389996827.11856
85689000.0,86008000.0,85000000.0,85669000.0,119.17958849,10185173606.88
85695000.0,85848000.0,85378000.0,85731000.0,56.67304417,4856310674.26349
85717000.0,85999000.0,85400000.0,85957000.0,85.93265223,7371707948.21044
85954000.0,85975000.0,85650000.0,85867000.0,105.8921256,9090755746.38843
85870000.0,85915000.0,85124000.0,85550000.0,151.1283245,12911711347.16578
85520000.0,86311000.0,85501000.0,85990000.0,118.66998437,10201427983.87246
